loss,val_loss
46854644.0,125723072.0
46638012.0,134156280.0
46400068.0,98896728.0
45211032.0,107236040.0
45375572.0,110051608.0
44941820.0,110082600.0
47073756.0,109936376.0
77823384.0,103843000.0
94477120.0,306786144.0
81041912.0,106775488.0
65452612.0,116391328.0
61905636.0,243192480.0
61398496.0,140841024.0
56990544.0,160490560.0
57187472.0,153534880.0
58047632.0,92138472.0
58951528.0,153185664.0
55121548.0,143920608.0
53450272.0,145340064.0
60006440.0,115772688.0
66033360.0,136451984.0
61392440.0,165836288.0
76220184.0,104889624.0
108875976.0,118210944.0
68264984.0,396590048.0
59934536.0,93064976.0
51545776.0,153219616.0
54127596.0,91281048.0
50623508.0,109781280.0
50439192.0,142476416.0
50569304.0,123054880.0
47865780.0,139026176.0
50493684.0,145588000.0
51752836.0,181694816.0
55713676.0,103237464.0
50252052.0,125968032.0
49579456.0,133357272.0
47032284.0,123620920.0
47035748.0,121681080.0
48537452.0,118484016.0
49331800.0,93763880.0
46972464.0,116823104.0
46568396.0,93496864.0
48379624.0,155344720.0
52288424.0,106204664.0
47063156.0,105646288.0
45899268.0,139919168.0
46735024.0,122773672.0
46573164.0,117693944.0
50041276.0,108226704.0
90452640.0,170968800.0
69240672.0,142084800.0
60948616.0,122208864.0
59318584.0,144381936.0
55250368.0,130727864.0
58711664.0,112481008.0
58810124.0,210979024.0
61831828.0,116801056.0
67329600.0,130934624.0
62745244.0,123791664.0
56520784.0,141184976.0
59349048.0,139606176.0
61073156.0,100537624.0
57821224.0,187873904.0
90721600.0,143068704.0
73907704.0,133569728.0
66384380.0,146754864.0
59909948.0,105794816.0
62645036.0,68589936.0
61040800.0,79933808.0
53394640.0,116738424.0
64789892.0,85523984.0
57237112.0,96508808.0
50276740.0,109940680.0
49445724.0,118189336.0
53480108.0,208492304.0
55516780.0,100779136.0
48816840.0,108153800.0
49224700.0,109610416.0
48462580.0,131918776.0
48261316.0,94189032.0
47406684.0,109318152.0
45646576.0,111756896.0
47247892.0,100890024.0
46698204.0,130946720.0
45432296.0,113726080.0
45769296.0,124976968.0
45872064.0,125048792.0
46608164.0,135972304.0
46129512.0,145097120.0
46074648.0,114948296.0
